Name,Biography,Time in metropolitan France,Date of departure,Regions,Occupation
Samuel de Champlain,"Samuel de Champlain was a French explorer, cartograoher and chronicler. He was born in Brouage, France around 1567. From 1599, he travelled to the Caribbean islands and South America. In 1603, he founded Quebec and New France. He mapped the Atlantic coast and the Great Lakes before becoming the de facto governor of New France in 1620. He wrote multiple travel narratives based on his voyages.",Yes,1599,Caribbean;New France,Official
François Caron,"François Caron was born in 1600 in Bruxelles. He served in the Dutch East India Company (VOC) for 30 years from 1619, traveling to Japan, Batavia, Ceylon and Formosa, working  as a cook's mate, an interpreter, a chief merchant, a member of the VOC Council of the East Indies, a commander of a merchant fleet, and a governor (he wrote a description of Japan titled Le puissant royaume du Japon in 1636). In 1665, Caron became the director general of the French Company of the East Indies. The Dutch interpreted this decision as treason and banned him from the Provinces in perpetuity. In 1665, Caron travelled to Madgascar. He then founded the French trading post of Surat and Masulipatam in India. In 1672, he led the French troops in Ceylon. He died in a shipwreck on his way back to Europe in 1673.",Yes,1619,Madagascar;India,Official
François Cauche,"François Cauche was born in Rouen, France in 1606. He left France in 1638, with the intention to establish a settlement on Isle of France and to travel to the Red Sea. His ship stopped in Cape-Verd, Rodrigues and Isle Bourbon before its arrival in Madagascar. Cauche explored the East Coast of Madagascar and stayed on that island until 1643, where he occupied the position of main artillery commissionner.  He travelled to the Comorro islands, Cape Guardafui, the Red Sea and back to Madagascar. He returned to France in 1644 and wrote a travel account titled Relations veritables et curieuses de l’Isle de Madagascar et du Bresil ( 1651).",Yes,1638,Bourbon;Madagascar,Other
Pierre Pelleprat,"Jesuit missionary Pierre Pelleprat left France for the Antilles in 1651. He spent time in Saint-Christopher, Marie-Galante, Saint-Vincent, Martinique and Grenada. He then travelled to French Guyana and to the South American mainland.",Yes,1651,Caribbean;Guyana,Missionary
Carpeau de Saussay,"Carpeau de Saussay left France in 1663. He travelled to Cape Verde, Madagascar, Isle Bourbon and back to Madagascar. He then travelled to Saint Helena and Ascention Island before reaching France. He wrote a travel narrative titled Voyage de Madagascar (1722).",Yes,1663,Madagascar;Bourbon,Other
Jean-Baptiste Patoulet de Mazy,"Jean Baptiste Patoulet de Mazy was a secretary of  Jean Talon in New France from 1665 to 1692, then was an intendant in the îles du Vent.  He was in Martinique starting in 1679.",Yes,1665,New France;Caribbean,Official
François Martin,"François Martin was born in Paris in 1634. He was a French merchant, navigator and a commissioner of the Company of the Indies. He left France in 1665. After his stopovers in Cape Verde, Isle Bourbon and Madagascar, he travelled to India and founded Pondicherry in 1674. He  became the first governor of this latter post. He wrote an account of his travels published under the title Mémoires de François Martin, fondateur de Pondichéry (1665-1696), ed. Alfred Martineau.",Yes,1665,Bourbon;Madagascar;India,Official
Jean de Lacombe,"Lacombe’s travels highlight the circuits of trade and far-flung military operations of France’s late 17th century colonial apparatus. 
In 1668, Jean de Lacombe,, sieur de Quercy, departed from the French port of Bordeaux to travel to Isle of France (now Isle of France), beginning nearly a decade, from 1668 to 1676, as a captain in one of France’s many military regiments servicing European wars. At times working specifically for the Crown, at other times protecting valuable cargo for state-sanctioned companies, he served in England, the Americas (Brazil and Québec) for six months, Batavia, and Java, as well as Isle of France. Wood, pp. 189-90",,1668,New France;Bourbon,Military
Sieur Dubois,"Sieur Dubois left France in 1669 and his ship stopped in Cape Verde. He then travelled to Isle Bourbon and Madagascar, where he worked as the secretary and intendant to Monsieur de Champmargou, who governed Madagascar from 1660. Dubois left Madagascar in 1672. His ship stopped in Saint Helena and Ascention Island before arriving in France in 1673. He wrote a travel narrative titled Les voyages faits par le sieur D.B aux isles Dauphine ou Madagascar, et Bourbon ou Mascarenne, ès années 1669, 70, 71 et 72 (1674)",Yes,1669,Bourbon;Madagascar,Official
Jacob Blanquet de La Haye,"Jacob Blanquet de La Haye was born in Mainvilliers, France in 1621. In 1671, he became commander of a squadron sent to the East Indies. He left France for India in 1671, stopping in Bahia (Brazil), Madagascar, and Isle Bourbon on the way. He arrived in Surat, India in 1672 and became Vice-Roy of the Indies. On his way back to France, his ship stopped on Isle Bourbon. De La Haye reached metropolitan France in 1675 and fought in the Franco-Dutch War (1672-1678). He died in combat in 1677.",Yes,1671,Madagascar;Bourbon;India,Military
Jean-Baptiste Ducasse,"Jean-Baptiste Ducasse was born around 1646–1650 in France, to a protestant family. He became a sailor at the age of 15, and a merchant ship captain at the age of 29. He became director of the Company of Senegal in 1677. He got involved in the slave trade and took possession of Gorée in 1678. He then became the governor of Saint-Domingue in 1691 and joined a military expedition to Carthagena of the Indies (Columbia) in 1697. He returned to Versailles in 1701 and to Saint-Domingue in 1702.",Yes,1678,Senegal;Caribbean,Military
Robert Challe,"Robert Challe was born in Paris in 1659. He travelled to New France several times from 1682, directing a fishing enterprise and working as a fur trader. He then returned to France and became an accountant on board a ship which sailed for Pondicherry and the Far East in 1690. On his way back to France, he travelled to the Antilles. Challe published an account of his travels, titled Journal d'un Voyage Fait aux Indes Orientales (3 vols., 1721)",Yes,1682,New France;India;Caribbean,Other
Antoine de La Mothe Cadillac,"Antoine de La Mothe Cadillac was born in 1658 Saint-Nicolas-de-la-Grave in Gascogne, France. He left France in 1683 to settle in New France. He worked as a trapper and trader in Acadia and then as the commander of Fort de Buade, Michigan. He founded and commanded Fort Pontchartrain (in present-day Detroit) until 1710, and was the governor of Louisiana from 1710 to 1716. He returned to France and died in 1730.",Yes,1683,New France;Louisiana,Official
